VoucherCodeId,Code,Description,ActivationDate,ExpiryDate,CategoryName,Status,Merchant,Product,Type,Discount
1528,AFOMG5,Get Flat 5% off on Hotels,12-01-2015 00:00,31-03-2015 00:00,Travel,Active,Expedia,Hotels,,
1546,FABOMG1K,INR 1000 off above INR 3999 on Non-Furniture,13-01-2015 00:00,31-03-2015 00:00,Shopping,Active,Fabfurnish.com,Sale,,
1547,FABOMG200,INR 200 off above INR 999 on all products,13-01-2015 00:00,31-03-2015 00:00,Shopping,Active,Fabfurnish.com,Sale,,
1548,FABOMG300,INR 300 off above INR 1299 on all products,13-01-2015 00:00,31-03-2015 00:00,Shopping,Active,Fabfurnish.com,Sale,,
1549,FABOMG15A,15% off above INR 1499 on Non Furniture,13-01-2015 00:00,31-03-2015 00:00,Shopping,Active,Fabfurnish.com,Sale,,
1550,FABOMG20A,20% off above INR 9999 only on Non-Furniture,13-01-2015 00:00,31-03-2015 00:00,Shopping,Active,Fabfurnish.com,Sale,,
1703,AWA25,Get 10% discount,16-01-2015 00:00,31-03-2015 00:00,Shopping,Active,IndianGiftsportal,Cost per Sale,,
1704,AWA25,Get 10% discount,16-01-2015 00:00,31-03-2015 00:00,Shopping,Active,IndianGiftsportal,Cost per Sale,,
1786,BZOMG011,Flat INR 500 off (Minimum Cart value will be  INR1000),20-01-2015 00:00,31-03-2015 00:00,Shopping,Active,Askmebazaar,CPS,,
2274,No coupon required,Celebrate season of Love – Get upto 55% off on Hotels,28-01-2015 00:00,31-03-2015 00:00,Travel,Active,Hotels.com,Hotels,,
2425,OMGFTBY100,INR 100 of on minimum purchase of INR 200,23-02-2015 00:00,11-03-2015 00:00,,Active,Ebay,Electronics,,
2427,No coupon required,"World Cup Special: Upto 65% Off on Home Entertainment, Laptops, Mobiles & Tablets",23-02-2015 00:00,26-03-2015 00:00,,Active,Shopclues.com,Electronics,,
2428,SC2015WC50 ,World Cup Special: Upto 50% Off on World Cup Merchandize,23-02-2015 00:00,29-03-2015 00:00,,Active,Shopclues.com,Other,,
2462,HOLI10,Holi Sale up to 40% + 10% off,27-02-2015 00:00,31-03-2015 00:00,Shopping,Active,IndianGiftsportal,Cost per Sale,,
2464,No coupon required,FLAT 65% Off on East Coast Surf Apparel,27-02-2015 00:00,10-03-2015 00:00,Shopping,Active,Fashionara Enterprise Private Ltd,sale,,
2465,No coupon required,60%-70% Off on Ladies Spring Up,27-02-2015 00:00,10-03-2015 00:00,Shopping,Active,Fashionara Enterprise Private Ltd,sale,,
2466,No coupon required,65%-70% Off on NYC Sass by Whitney Eve,27-02-2015 00:00,10-03-2015 00:00,Shopping,Active,Fashionara Enterprise Private Ltd,sale,,
2467,No coupon required,FLAT 57% Off on 70's Prints on Pants,27-02-2015 00:00,10-03-2015 00:00,Shopping,Active,Fashionara Enterprise Private Ltd,sale,,
2471,No coupon required,FLAT 40% Off on Funky Fashion Watches,27-02-2015 00:00,13-03-2015 00:00,Shopping,Active,Fashionara Enterprise Private Ltd,sale,,
2472,No coupon required,upto 60% Off on Bath Linen,27-02-2015 00:00,13-03-2015 00:00,Shopping,Active,Fashionara Enterprise Private Ltd,sale,,
2473,No coupon required,FLAT 50% Off on Ethnic Colors Of Holi,27-02-2015 00:00,13-03-2015 00:00,Shopping,Active,Fashionara Enterprise Private Ltd,sale,,
2474,No coupon required,FLAT 50% Off on JohnPlayerson Men's Fomals,27-02-2015 00:00,13-03-2015 00:00,Shopping,Active,Fashionara Enterprise Private Ltd,sale,,
2475,No coupon required,FLAT 65% Off on Haute Casual Footwear,27-02-2015 00:00,13-03-2015 00:00,Shopping,Active,Fashionara Enterprise Private Ltd,sale,,
2476,No coupon required,FLAT 50% Off on GAS Mens Casual Shoes,27-02-2015 00:00,13-03-2015 00:00,Shopping,Active,Fashionara Enterprise Private Ltd,sale,,
2477,No coupon required,FLAT 50% Off on USPA Off Duty Shoes,27-02-2015 00:00,13-03-2015 00:00,Shopping,Active,Fashionara Enterprise Private Ltd,sale,,
2483,BUSMMT55,Get Flat INR 55 Off on bus booking,27-02-2015 00:00,31-03-2015 00:00,Travel,Active,Makemytrip.com,Buses,,
2484,BUSMMT55,Get Flat INR 55 Off on bus booking,27-02-2015 00:00,31-03-2015 00:00,Travel,Active,Makemytrip.com,Buses,,
2485,HDFCIHOT,12% Cashback upto Rs. 2000/- on Domestic Hotels on using HDFC Cards,27-02-2015 00:00,31-03-2015 00:00,Travel,Active,Makemytrip.com,Hotel Domestic,,
2486,SCIH,Upto 10% cashback and Max. upto Rs. 3500 /-on International Holidays on using Standard Chartered Cards.,27-02-2015 00:00,31-03-2015 00:00,Travel,Active,Makemytrip.com,Hotel Domestic,,
2487,HDFCHOT,12% Cashback upto Rs. 2000/- on Domestic Hotels on using HDFC Cards,27-02-2015 00:00,31-03-2015 00:00,Travel,Active,Makemytrip.com,Hotel Domestic,,
2488,HSBCIHOT,8% Cashback of upto Rs. 2000/- on International Hotels on using HSBC ,27-02-2015 00:00,31-03-2015 00:00,Travel,Active,Makemytrip.com,Hotel Domestic,,
2489,HSBCHOT,10% Cashback of upto Rs. 2500/- on Domestic Hotels on using HSBC Cards,27-02-2015 00:00,31-03-2015 00:00,Travel,Active,Makemytrip.com,Hotel Domestic,,
2490,INDHOT,10% Cashback upto Rs. 2000/- on Domestic Hotels,27-02-2015 00:00,31-03-2015 00:00,Travel,Active,Makemytrip.com,Hotel Domestic,,
2491,KOTIHOT,8% Cashback upto Rs. 2000/- on International Hotels on using Kotak Cards,27-02-2015 00:00,31-03-2015 00:00,Travel,Active,Makemytrip.com,Hotel Domestic,,
2492,KOTHOT,10% Cashback upto Rs. 1000/- on Domestic Hotels on using Kotak Cards,27-02-2015 00:00,31-03-2015 00:00,Travel,Active,Makemytrip.com,Hotel Domestic,,
2493,SCIHOT,10% cashback of upto Rs. 3000 on International Hotels on using Standard Chartered Cards,27-02-2015 00:00,31-03-2015 00:00,Travel,Active,Makemytrip.com,Hotel Domestic,,
2494,SCHOT,10% cashback of upto Rs. 2500 on Domestic Hotels on using Standard Chartered Cards,27-02-2015 00:00,31-03-2015 00:00,Travel,Active,Makemytrip.com,Hotel Domestic,,
2495,SBIIHOT,10% cashback of upto Rs 3000 on International Hotels on using SBI Cards,27-02-2015 00:00,31-03-2015 00:00,Travel,Active,Makemytrip.com,Hotel Domestic,,
2496,SBIHOT,10% cashback of upto Rs. 2500 on Domestic Hotels on using SBI Cards,27-02-2015 00:00,31-03-2015 00:00,Travel,Active,Makemytrip.com,Hotel Domestic,,
2497,INDBUS,4% on booking amount and Max. upto Rs. 75 /- . Minimum Sale amount of Booking Should be INR750/-,27-02-2015 00:00,31-03-2015 00:00,Travel,Active,Makemytrip.com,Buses,,
2498,HDFCBUS,6% on booking amount and Max. upto Rs. 150 /-,27-02-2015 00:00,31-03-2015 00:00,Travel,Active,Makemytrip.com,Buses,,
2499,SBIBUS,6 % off on Bus,27-02-2015 00:00,31-03-2015 00:00,Travel,Active,Makemytrip.com,Buses,,
2500,HSBCBUS,6% on booking amount and Max. upto Rs. 250 /- . Only on a minimum purchase of Rs.750/-,27-02-2015 00:00,31-03-2015 00:00,Travel,Active,Makemytrip.com,Buses,,
2501,SCBUS,Rs. 50/- cashback on a min. purchase of Rs. 750/- and Rs. 100/- cashback on min purchase of 2000/- per booking id.,27-02-2015 00:00,31-03-2015 00:00,Travel,Active,Makemytrip.com,Buses,,
2502,KOTBUS,5% on booking amount and Max. upto Rs. 75 /-.Minimum Booking Amount should be INR750,27-02-2015 00:00,31-03-2015 00:00,Travel,Active,Makemytrip.com,Buses,,
2503,No Coupon required,"Get Flat 50% off on NewYork, Paris, Amsterdam, Shanghai, Frankurt and More",01-03-2015 00:00,31-03-2015 00:00,Travel,Active,Expedia,Hotels,,
2504,No Coupon required,Get upto 40% off on Hotels in Australia and New Zealand,01-03-2015 00:00,20-03-2015 00:00,Travel,Active,Expedia,Hotels,,
2505,No Coupon required,Goa Hotel Sale : Get 50% off on Hotels,01-03-2015 00:00,15-03-2015 00:00,Travel,Active,Expedia,Hotels,,
2506,No Coupon required,Thailand Sale : Get upto 60% off on Hotels,01-03-2015 00:00,31-03-2015 00:00,Travel,Active,Expedia,Hotels,,
2513,No coupon required,Flat 19% Off on Recron Lullaby Portable Bed for Newborns (Free Mattress Protector worth Rs. 299) only at Rs.1299,02-03-2015 00:00,12-03-2015 00:00,,Active,Shopclues.com,Other,,
2514,SCTOMF50,Tomcat Special: Men's Sports Shoes and Sandals at Flat Rs.349/-,02-03-2015 00:00,31-03-2015 00:00,,Active,Shopclues.com,Other,,
2515,SCHAFS20 ,Adidas Fitness Store: Flat 24% Off on Adidas Fitness products,02-03-2015 00:00,31-03-2015 00:00,,Active,Shopclues.com,Other,,
2516,SC1DB10 ,"Deo Bazaar: Upto 50% off on Deodorants for men & women on Brands like Wildstone, Envy, Yardley, Fa, Zatak, He, Reebok (Deos starting at Rs.75 only)",02-03-2015 00:00,30-03-2015 00:00,,Active,Shopclues.com,Other,,
2517,No coupon required,"As Seen on TV Sale: Upto 70% Off on teleshopping products like Sauna Belt, Aluma Wallet, Slim Tea, Air Bra, etc",02-03-2015 00:00,31-03-2015 00:00,,Active,Shopclues.com,Other,,
2522,OMGMAR25,Get 25% OFF on delivery & online payment orders,03-03-2015 00:00,05-04-2015 00:00,Shopping,Active,Justeat.in,Repeat User,,
2528,SUMMER5,Extra 5% OFF on orders above INR 149,03-03-2015 00:00,31-03-2015 00:00,,Active,Coke2home,Cost Per Sale,,
2529,SUMMER10,Extra 10% OFF on orders above INR 400,03-03-2015 00:00,31-03-2015 00:00,,Active,Coke2home,Cost Per Sale,,
2532,HOLI15,15% off on Holi Gifts,03-03-2015 00:00,31-03-2015 00:00,Shopping,Active,IndianGiftsportal,Cost per Sale,,
2556,PEPOMGMAR1,"*Offer applicable on Furniture, Home décor, Furnishings, Lamps & Lighting category",04-03-2015 00:00,31-03-2015 00:00,,Active,Pepperfry.com,Sale - Coupon,,
2557,PEP1OMG500,"*Offer applicable on Kitchen & Dining, Bath, Housekeeping, Appliances, Pets Supplies category",04-03-2015 00:00,31-03-2015 00:00,,Active,Pepperfry.com,Sale - Coupon,,
2558,OMG100,Rs 100 off on a purchase of Rs 500 and above (site wide),04-03-2015 00:00,13-03-2015 00:00,Shopping,Active,Askmebazaar,CPS,,
2559,HOLIRUSH20, Holi coupon 20% off with max value 150.,04-03-2015 00:00,31-03-2015 00:00,Shopping,Active,Askmebazaar,CPS,,
2560,FA20OMG,20% off with a capping of Rs 50 (Promote it as 20% off on Fashion accessories),04-03-2015 00:00,10-03-2015 00:00,Shopping,Active,Askmebazaar,CPS,,
2564,PEPWOMEN25,"*Offer applicable on Furniture, Home décor, Furnishings, Lamps & Lighting category",06-03-2015 00:00,09-03-2015 00:00,,Active,Pepperfry.com,Sale - Coupon,,
2565,PEPWOMEN15,"*Offer applicable on Kitchen & Dining, Bath, Housekeeping, Appliances and Pets Supplies category",06-03-2015 00:00,09-03-2015 00:00,,Active,Pepperfry.com,Sale - Coupon,,
